FULL_step_teacher,FULL_reward_teacher,FULL_step_student,FULL_reward_student,INT_step_teacher,INT_reward_teacher,INT_step_student,INT_reward_student,EXT_step_teacher,EXT_reward_teacher,EXT_step_student,EXT_reward_student
100,44.476810455322266,100,79.76903533935547,100,-138.1308135986328,100,-155.56141662597656,100,-140.78732299804688,100,-144.18408203125
101,41.892723083496094,101,56.83310317993164,101,-139.58285522460938,101,-144.5305938720703,101,-138.95211791992188,101,-142.32318115234375
102,159.05979919433594,102,118.1150131225586,102,-146.97105407714844,102,-141.02777099609375,102,-145.3372802734375,102,-145.46788024902344
103,151.05409240722656,103,142.76246643066406,103,-129.3901824951172,103,-132.76280212402344,103,-138.1802978515625,103,-140.47776794433594
104,142.29168701171875,104,182.56590270996094,104,-139.0279998779297,104,-137.43893432617188,104,-136.59555053710938,104,-134.03421020507812
105,57.45133972167969,105,151.7462615966797,105,-121.61805725097656,105,-130.5934600830078,105,-141.34091186523438,105,-140.29713439941406
106,211.75469970703125,106,196.6917266845703,106,-125.93119812011719,106,-136.7955322265625,106,-128.1151123046875,106,-143.07647705078125
107,171.94190979003906,107,212.66592407226562,107,-132.44009399414062,107,-131.98928833007812,107,-141.0368194580078,107,-140.00668334960938
108,201.18553161621094,108,173.9989776611328,108,-130.02198791503906,108,-118.89544677734375,108,-142.94119262695312,108,-136.77975463867188
109,152.41744995117188,109,184.71066284179688,109,-123.70674133300781,109,-122.28357696533203,109,-131.1170196533203,109,-136.31289672851562
110,221.59837341308594,110,165.64637756347656,110,-122.22216033935547,110,-121.36186218261719,110,-128.1692352294922,110,-133.5621337890625
111,227.0596160888672,111,211.7599639892578,111,-111.522705078125,111,-118.24364471435547,111,-132.0277099609375,111,-134.63404846191406
112,251.98846435546875,112,240.73779296875,112,-124.37244415283203,112,-120.18496704101562,112,-131.16221618652344,112,-130.46786499023438
113,244.50962829589844,113,244.5269012451172,113,-111.06956481933594,113,-121.26318359375,113,-137.9589080810547,113,-126.09476470947266
114,290.9225769042969,114,222.21788024902344,114,-116.7040023803711,114,-116.34683227539062,114,-122.97595977783203,114,-134.82916259765625
115,335.5349426269531,115,231.19544982910156,115,-114.87390899658203,115,-122.15943145751953,115,-130.9546661376953,115,-131.53981018066406
116,338.5917053222656,116,233.1265869140625,116,-116.18353271484375,116,-121.3072280883789,116,-132.5228729248047,116,-133.586669921875
117,365.028076171875,117,278.0884094238281,117,-125.5892105102539,117,-109.1500473022461,117,-123.75932312011719,117,-129.5921173095703
118,265.5024719238281,118,315.2966613769531,118,-111.6790771484375,118,-115.36640167236328,118,-130.41903686523438,118,-133.9283905029297
119,349.80108642578125,119,327.2946472167969,119,-108.5531997680664,119,-111.89955139160156,119,-132.91812133789062,119,-133.8968048095703
120,348.83477783203125,120,345.8302917480469,120,-115.56553649902344,120,-127.87448120117188,120,-137.63548278808594,120,-127.8380126953125
121,386.7791748046875,121,372.47564697265625,121,-94.36673736572266,121,-115.39618682861328,121,-130.094970703125,121,-127.2421646118164
122,423.0173034667969,122,464.8205261230469,122,-121.22124481201172,122,-115.447998046875,122,-130.59701538085938,122,-125.0773696899414
123,470.697998046875,123,442.886962890625,123,-112.84957885742188,123,-102.87894439697266,123,-126.88524627685547,123,-128.38629150390625
124,485.2814025878906,124,483.5694885253906,124,-92.30916595458984,124,-92.63581085205078,124,-128.75645446777344,124,-125.6058120727539
125,487.0655822753906,125,449.707275390625,125,-100.1630859375,125,-110.78351593017578,125,-122.45156860351562,125,-131.1035614013672
126,399.7738342285156,126,419.4437255859375,126,-100.9231948852539,126,-111.92279815673828,126,-121.94490051269531,126,-122.61053466796875
127,461.1068420410156,127,458.2847595214844,127,-90.96383666992188,127,-99.79170227050781,127,-125.47565460205078,127,-129.05868530273438
128,493.1837158203125,128,496.1982116699219,128,-99.6903076171875,128,-110.00390625,128,-129.65695190429688,128,-129.396484375
129,488.1053161621094,129,489.1158447265625,129,-83.44487762451172,129,-88.46778869628906,129,-124.09728240966797,129,-134.12893676757812
130,497.24017333984375,130,472.1422119140625,130,-91.18885803222656,130,-92.18988037109375,130,-122.55949401855469,130,-127.4715576171875
131,523.4716796875,131,480.2919921875,131,-76.2996826171875,131,-84.31478118896484,131,-120.30821990966797,131,-127.19116973876953
132,553.4786376953125,132,544.8807373046875,132,-80.10429382324219,132,-78.76412963867188,132,-125.77904510498047,132,-130.2684326171875
133,593.6266479492188,133,584.82568359375,133,-68.70362854003906,133,-99.92168426513672,133,-122.62854766845703,133,-128.07113647460938
134,537.6908569335938,134,556.1743774414062,134,-76.64105224609375,134,-84.17819213867188,134,-122.23982238769531,134,-125.04468536376953
135,611.5244140625,135,516.1314086914062,135,-76.66814422607422,135,-88.26514434814453,135,-121.39753723144531,135,-119.97320556640625
136,604.9048461914062,136,552.2496337890625,136,-67.993896484375,136,-79.12398529052734,136,-120.88043975830078,136,-125.46916198730469
137,513.9878540039062,137,587.4005126953125,137,-66.39979553222656,137,-65.03514862060547,137,-121.91381072998047,137,-121.2053451538086
138,639.7442016601562,138,587.58935546875,138,-40.50899887084961,138,-83.58130645751953,138,-120.80787658691406,138,-121.46322631835938
139,618.3342895507812,139,592.0206909179688,139,-56.79745864868164,139,-71.49030303955078,139,-116.9177474975586,139,-119.4601821899414
140,628.284912109375,140,598.6632690429688,140,-69.89631652832031,140,-72.61616516113281,140,-115.12747192382812,140,-118.54826354980469
141,685.776123046875,141,636.1040649414062,141,-41.8490104675293,141,-60.54076385498047,141,-123.30342102050781,141,-117.75565338134766
142,595.1337280273438,142,678.9185180664062,142,-45.16120529174805,142,-67.12545013427734,142,-118.05792236328125,142,-120.40589904785156
143,677.0335693359375,143,637.5616455078125,143,-41.82435607910156,143,-71.3361587524414,143,-118.70661926269531,143,-123.88422393798828
144,641.910888671875,144,666.1604614257812,144,-41.243133544921875,144,-58.014686584472656,144,-119.3732681274414,144,-118.02024841308594
145,593.6154174804688,145,663.6925659179688,145,-60.10506057739258,145,-48.169517517089844,145,-119.51628875732422,145,-118.37715148925781
146,589.9261474609375,146,676.9993286132812,146,-56.757572174072266,146,-52.549041748046875,146,-117.8161392211914,146,-119.66951751708984
147,639.4746704101562,147,614.7279663085938,147,-30.241504669189453,147,-59.14778518676758,147,-122.09256744384766,147,-120.2114486694336
